rental_overlap_alpha_pct,confirmation_depth,attacker_fraction_of_combined_pct,biased_random_walk_eventual_catchup_probability,attacker_exceeds_remaining_honest,proxy_definition,evidence_class
0.00,2,34.42622916,0.275624991475,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
0.00,6,34.42622916,0.020938992442,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
0.00,12,34.42622916,0.000438441404,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
0.00,20,34.42622916,0.000002530381,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
0.00,24,34.42622916,0.000000192231,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
25.00,2,37.66816102,0.365198475689,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
25.00,6,37.66816102,0.048706493914,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
25.00,12,37.66816102,0.002372322549,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
25.00,20,37.66816102,0.000042197776,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
25.00,24,37.66816102,0.000005627914,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
50.00,2,41.58415791,0.506750912388,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
50.00,6,41.58415791,0.130131854190,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
50.00,12,41.58415791,0.016934299475,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
50.00,20,41.58415791,0.001116722825,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
50.00,24,41.58415791,0.000286770499,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
75.00,2,46.40883914,0.749920250826,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
75.00,6,46.40883914,0.421740437579,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
75.00,12,46.40883914,0.177864996689,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
75.00,20,46.40883914,0.056253663937,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
75.00,24,46.40883914,0.031635957047,false,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
100.00,2,52.49999919,1.000000000000,true,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
100.00,6,52.49999919,1.000000000000,true,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
100.00,12,52.49999919,1.000000000000,true,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
100.00,20,52.49999919,1.000000000000,true,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
100.00,24,52.49999919,1.000000000000,true,"P=1 when q>=0.5, otherwise P=(q/(1-q))^z for an attacker starting z blocks behind",mathematical proxy over a speculative rental-overlap case; not an empirical reorganisation probability
